Country,Year,Production Mineral,Production Qty,Import Mineral Name,Import Qty,Access to electricity (% of pop),Central Govt Debt (% of GDP),Electricity from fossil (% of total),Electricity from nuclear (% of total),Electricity from renewables excl. hydro (% of total),FDI (% of GDP),FDI (US$),GDP (constant PPP),GDP (current US$),GDP growth (%),Population (Total),WGI Average,,,,
Australia,2023,Tantalum (Ta2O5),50,Tantalum (Ta2O5),0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Tin,9852,Tin,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Titanium (TiO2),536500,Titanium (TiO2),0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Tungsten (W),420,Tungsten (W),0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Zircon,462000,Zircon,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Austria,2019,Graphite,100,Graphite,0,100,85.05468077,20.77215292,0,18.60023709,-2.852556176,0,5.74E+11,4.43E+11,1.754976196,8879920,1.42525057,,,,
Austria,2019,Molybdenum & Scrap,0,Molybdenum & Scrap,94,100,85.05468077,20.77215292,0,18.60023709,-2.852556176,0,5.74E+11,4.43E+11,1.754976196,8879920,1.42525057,,,,
Austria,2019,Other Rare Metals Nes,0,Other Rare Metals Nes,0,100,85.05468077,20.77215292,0,18.60023709,-2.852556176,0,5.74E+11,4.43E+11,1.754976196,8879920,1.42525057,,,,
Austria,2019,Tungsten (W),892,Tungsten (W),0,100,85.05468077,20.77215292,0,18.60023709,-2.852556176,0,5.74E+11,4.43E+11,1.754976196,8879920,1.42525057,,,,
Austria,2019,Tungsten And Alloys Incl. Scrap,0,Tungsten And Alloys Incl. Scrap,49,100,85.05468077,20.77215292,0,18.60023709,-2.852556176,0,5.74E+11,4.43E+11,1.754976196,8879920,1.42525057,,,,
Austria,2020,Graphite,100,Graphite,0,100,101.6672082,17.96493839,0,18.50454809,-2.763320707,0,5.38E+11,4.34E+11,-6.318255092,8916864,1.42193977,,,,
Austria,2020,Molybdenum & Scrap,0,Molybdenum & Scrap,49,100,101.6672082,17.96493839,0,18.50454809,-2.763320707,0,5.38E+11,4.34E+11,-6.318255092,8916864,1.42193977,,,,
Austria,2020,Other Rare Metals Nes,0,Other Rare Metals Nes,0,100,101.6672082,17.96493839,0,18.50454809,-2.763320707,0,5.38E+11,4.34E+11,-6.318255092,8916864,1.42193977,,,,
Austria,2020,Tungsten (W),896,Tungsten (W),0,100,101.6672082,17.96493839,0,18.50454809,-2.763320707,0,5.38E+11,4.34E+11,-6.318255092,8916864,1.42193977,,,,
Austria,2020,Tungsten And Alloys Incl. Scrap,0,Tungsten And Alloys Incl. Scrap,40,100,101.6672082,17.96493839,0,18.50454809,-2.763320707,0,5.38E+11,4.34E+11,-6.318255092,8916864,1.42193977,,,,
Austria,2021,Graphite,200,Graphite,0,100,96.02782118,19.05562779,0,19.79073153,3.954093238,0,5.64E+11,4.80E+11,4.795328857,8955797,1.358188341,,,,
Austria,2021,Molybdenum & Scrap,0,Molybdenum & Scrap,45,100,96.02782118,19.05562779,0,19.79073153,3.954093238,0,5.64E+11,4.80E+11,4.795328857,8955797,1.358188341,,,,
Austria,2021,Other Rare Metals Nes,0,Other Rare Metals Nes,1,100,96.02782118,19.05562779,0,19.79073153,3.954093238,0,5.64E+11,4.80E+11,4.795328857,8955797,1.358188341,,,,
Austria,2021,Tungsten (W),919,Tungsten (W),0,100,96.02782118,19.05562779,0,19.79073153,3.954093238,0,5.64E+11,4.80E+11,4.795328857,8955797,1.358188341,,,,
Austria,2021,Tungsten And Alloys Incl. Scrap,0,Tungsten And Alloys Incl. Scrap,51,100,96.02782118,19.05562779,0,19.79073153,3.954093238,0,5.64E+11,4.80E+11,4.795328857,8955797,1.358188341,,,,
Austria,2022,Graphite,300,Graphite,0,100,76.22140074,19.51233605,0,0,3.031433627,0,5.94E+11,4.72E+11,5.277894485,9041851,1.295558373,,,,
Austria,2022,Molybdenum & Scrap,0,Molybdenum & Scrap,53,100,76.22140074,19.51233605,0,0,3.031433627,0,5.94E+11,4.72E+11,5.277894485,9041851,1.295558373,,,,
Austria,2022,Other Rare Metals Nes,0,Other Rare Metals Nes,26,100,76.22140074,19.51233605,0,0,3.031433627,0,5.94E+11,4.72E+11,5.277894485,9041851,1.295558373,,,,
Austria,2022,Tungsten (W),910,Tungsten (W),0,100,76.22140074,19.51233605,0,0,3.031433627,0,5.94E+11,4.72E+11,5.277894485,9041851,1.295558373,,,,
Austria,2022,Tungsten And Alloys Incl. Scrap,0,Tungsten And Alloys Incl. Scrap,53,100,76.22140074,19.51233605,0,0,3.031433627,0,5.94E+11,4.72E+11,5.277894485,9041851,1.295558373,,,,
Austria,2023,Graphite,300,Graphite,0,100,78.33636731,13.75976049,0,0,0.571627955,0,5.88E+11,5.12E+11,-0.954962529,9131761,1.284584582,,,,
Austria,2023,Molybdenum & Scrap,0,Molybdenum & Scrap,60,100,78.33636731,13.75976049,0,0,0.571627955,0,5.88E+11,5.12E+11,-0.954962529,9131761,1.284584582,,,,
Austria,2023,Other Rare Metals Nes,0,Other Rare Metals Nes,21,100,78.33636731,13.75976049,0,0,0.571627955,0,5.88E+11,5.12E+11,-0.954962529,9131761,1.284584582,,,,
Austria,2023,Tungsten (W),819,Tungsten (W),0,100,78.33636731,13.75976049,0,0,0.571627955,0,5.88E+11,5.12E+11,-0.954962529,9131761,1.284584582,,,,
